Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Jamal Mashburn,38:00:00,8,14,0.571,0,0,0,6,6,1,2,4,6,1,1,0,5,1,22,29,CHH,20010423
P.J. Brown,37:00:00,3,6,0.5,0,0,0,3,3,1,3,5,8,1,1,0,3,3,9,25,CHH,20010423
David Wesley,32:00:00,5,8,0.625,3,4,0.75,5,6,0.833,0,3,3,3,1,1,0,2,18,26,CHH,20010423
Baron Davis,32:00:00,5,15,0.333,2,4,0.5,5,5,1,2,5,7,4,2,0,1,1,17,17,CHH,20010423
Elden Campbell,22:00,1,7,0.143,0,0,0,4,6,0.667,1,4,5,0,1,0,2,4,6,13,CHH,20010423
Derrick Coleman,23:00,3,8,0.375,1,2,0.5,1,1,1,1,5,6,2,1,0,0,1,8,17,CHH,20010423
Eddie Robinson,20:00,4,6,0.667,0,0,0,0,0,0,3,2,5,2,0,0,2,0,8,6,CHH,20010423
Hersey Hawkins,12:00,2,4,0.5,0,0,0,3,3,1,0,2,2,2,3,0,0,2,7,7,CHH,20010423
Scott Burrell,8:00,1,1,1,0,0,0,1,2,0.5,0,2,2,1,1,0,0,0,3,-1,CHH,20010423
Jamaal Magloire,7:00,1,1,1,0,0,0,2,8,0.25,2,0,2,0,0,0,0,2,4,-5,CHH,20010423
Eldridge Recasner,5:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,CHH,20010423
Otis Thorpe,4:00,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,-3,CHH,20010423
Anthony Mason,35:00:00,3,6,0.5,0,0,0,2,2,1,1,3,4,1,0,0,2,3,8,-22,MIA,20010423
Eddie Jones,34:00:00,7,17,0.412,4,8,0.5,3,3,1,0,6,6,2,0,0,3,4,21,-17,MIA,20010423
Alonzo Mourning,26:00:00,4,9,0.444,0,0,0,1,1,1,1,3,4,1,0,1,0,3,9,-19,MIA,20010423
Tim Hardaway,19:00,1,3,0.333,0,1,0,0,0,0,0,1,1,4,0,0,4,3,2,-9,MIA,20010423
Bruce Bowen,17:00,2,7,0.286,1,3,0.333,0,0,0,0,0,0,1,0,0,2,2,5,-15,MIA,20010423
Dan Majerle,28:00:00,2,9,0.222,1,8,0.125,0,0,0,1,4,5,2,2,0,0,3,5,-6,MIA,20010423
Brian Grant,27:00:00,2,4,0.5,0,0,0,1,2,0.5,2,4,6,0,0,3,3,1,5,-14,MIA,20010423
Anthony Carter,26:00:00,5,10,0.5,0,1,0,0,0,0,0,2,2,2,2,0,0,2,10,-16,MIA,20010423
Eddie House,14:00,4,9,0.444,0,1,0,1,2,0.5,0,0,0,1,1,1,0,2,9,-10,MIA,20010423
Cedric Ceballos,7:00,1,3,0.333,0,0,0,0,0,0,2,2,4,1,0,0,1,2,2,0,MIA,20010423
A.C. Green,7:00,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,-2,MIA,20010423
Kevin Garnett,32:00:00,5,13,0.385,0,0,0,8,8,1,2,10,12,2,0,1,2,3,18,-21,MIN,20010423
Anthony Peeler,31:00:00,1,8,0.125,0,5,0,0,0,0,0,1,1,0,0,1,2,2,2,-16,MIN,20010423
Wally Szczerbiak,28:00:00,2,7,0.286,0,0,0,1,2,0.5,1,3,4,2,1,0,2,2,5,-21,MIN,20010423
Terrell Brandon,24:00:00,2,9,0.222,2,4,0.5,1,1,1,0,2,2,2,0,1,4,1,7,-20,MIN,20010423
Dean Garrett,14:00,0,3,0,0,0,0,1,2,0.5,1,3,4,0,1,0,0,2,1,-19,MIN,20010423
LaPhonso Ellis,31:00:00,6,10,0.6,0,0,0,3,4,0.75,4,3,7,0,0,1,2,3,15,-4,MIN,20010423
Sam Mitchell,20:00,0,1,0,0,0,0,0,0,0,1,3,4,2,0,0,1,1,0,4,MIN,20010423
Felipe Lopez,17:00,3,7,0.429,1,2,0.5,1,1,1,1,1,2,1,0,0,2,2,8,-1,MIN,20010423
Chauncey Billups,15:00,1,4,0.25,0,1,0,1,1,1,1,3,4,2,0,0,1,2,3,-5,MIN,20010423
Rasho Nesterovic,10:00,1,3,0.333,0,0,0,0,0,0,2,2,4,2,0,2,2,1,2,5,MIN,20010423
William Avery,9:00,3,5,0.6,1,2,0.5,0,0,0,0,1,1,1,0,0,0,0,7,8,MIN,20010423
Reggie Slater,9:00,0,1,0,0,0,0,1,2,0.5,0,2,2,0,0,1,0,2,1,5,MIN,20010423
Tim Duncan,36:00:00,8,18,0.444,0,0,0,2,4,0.5,4,7,11,4,2,1,1,2,18,28,SAS,20010423
David Robinson,31:00:00,6,8,0.75,0,0,0,4,8,0.5,2,9,11,3,3,2,2,2,16,30,SAS,20010423
Derek Anderson,29:00:00,5,14,0.357,2,5,0.4,0,0,0,0,5,5,2,1,0,3,1,12,22,SAS,20010423
Danny Ferry,25:00:00,1,4,0.25,1,2,0.5,0,0,0,0,0,0,2,1,0,0,2,3,24,SAS,20010423
Terry Porter,20:00,4,4,1,3,3,1,2,2,1,0,3,3,4,1,0,1,1,13,20,SAS,20010423
Avery Johnson,21:00,4,7,0.571,0,0,0,1,1,1,1,1,2,1,0,0,1,3,9,6,SAS,20010423
Sean Elliott,21:00,2,8,0.25,1,3,0.333,0,0,0,0,2,2,0,0,2,0,2,5,-6,SAS,20010423
Antonio Daniels,19:00,0,5,0,0,2,0,2,2,1,0,2,2,2,1,0,0,0,2,-5,SAS,20010423
Malik Rose,14:00,2,5,0.4,0,0,0,0,0,0,2,2,4,0,0,0,1,2,4,-12,SAS,20010423
Samaki Walker,14:00,1,2,0.5,0,0,0,0,0,0,2,0,2,0,1,0,0,3,2,-12,SAS,20010423
Steve Kerr,8:00,1,4,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,-9,SAS,20010423
Shawnelle Scott,2:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,SAS,20010423
Reggie Miller,44:00:00,14,22,0.636,3,5,0.6,10,12,0.833,3,2,5,1,1,0,5,0,41,-15,IND,20010424
Jermaine O'Neal,41:00:00,4,8,0.5,0,0,0,3,6,0.5,5,6,11,2,0,6,4,2,11,-12,IND,20010424
Jalen Rose,39:00:00,7,17,0.412,2,6,0.333,2,2,1,1,4,5,5,2,0,5,5,18,-20,IND,20010424
Travis Best,34:00:00,4,8,0.5,0,0,0,2,2,1,1,3,4,6,1,0,0,5,10,-13,IND,20010424
Zan Tabak,7:00,0,1,0,0,0,0,1,2,0.5,1,0,1,0,0,0,0,1,1,-1,IND,20010424
Austin Croshere,33:00:00,3,9,0.333,1,3,0.333,3,3,1,0,3,3,3,3,0,2,6,10,-3,IND,20010424
Al Harrington,20:00,1,5,0.2,0,1,0,1,2,0.5,2,0,2,2,0,0,1,3,3,-5,IND,20010424
Tyus Edney,7:00,1,4,0.25,0,1,0,0,1,0,0,0,0,1,1,0,0,0,2,-2,IND,20010424
Jeff Foster,5:00,0,0,0,0,0,0,2,2,1,1,2,3,0,0,0,2,1,2,-6,IND,20010424
Jonathan Bender,4:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,IND,20010424
Derrick McKey,4:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-5,IND,20010424
Sam Perkins,2:00,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,IND,20010424
Allen Iverson,46:00:00,15,27,0.556,3,7,0.429,12,14,0.857,0,3,3,9,2,0,4,2,45,17,PHI,20010424
Dikembe Mutombo,39:00:00,1,7,0.143,0,0,0,1,2,0.5,2,9,11,0,3,6,2,2,3,20,PHI,20010424
Tyrone Hill,32:00:00,1,2,0.5,0,0,0,3,4,0.75,3,4,7,0,0,0,1,4,5,15,PHI,20010424
Eric Snow,30:00:00,5,9,0.556,0,0,0,0,0,0,1,3,4,6,2,0,1,5,10,8,PHI,20010424
George Lynch,28:00:00,6,12,0.5,0,1,0,4,6,0.667,5,3,8,1,1,0,4,3,16,2,PHI,20010424
Jumaine Jones,22:00,2,7,0.286,0,2,0,4,4,1,2,1,3,1,1,0,0,3,8,8,PHI,20010424
Aaron McKie,20:00,7,12,0.583,4,5,0.8,1,2,0.5,1,1,2,3,1,0,0,4,19,9,PHI,20010424
Kevin Ollie,12:00,2,2,1,0,0,0,2,2,1,1,0,1,4,0,0,2,2,6,10,PHI,20010424
Matt Geiger,6:00,1,2,0.5,0,0,0,0,0,0,1,1,2,2,0,0,0,2,2,-1,PHI,20010424
Rodney Buford,2:00,1,2,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,PHI,20010424
Todd MacCulloch,2:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,PHI,20010424
Raja Bell,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,PHI,20010424
Juwan Howard,47:00:00,6,15,0.4,0,0,0,5,8,0.625,4,3,7,1,1,0,3,5,17,-8,DAL,20010424
Dirk Nowitzki,47:00:00,3,11,0.273,1,5,0.2,8,10,0.8,0,4,4,2,0,2,2,6,15,-10,DAL,20010424
Michael Finley,46:00:00,10,23,0.435,3,9,0.333,9,11,0.818,4,4,8,3,0,0,1,3,32,-10,DAL,20010424
Steve Nash,43:00:00,6,13,0.462,2,9,0.222,6,7,0.857,1,2,3,6,0,0,4,3,20,-8,DAL,20010424
Shawn Bradley,37:00:00,1,3,0.333,0,0,0,7,9,0.778,2,6,8,1,0,0,1,6,9,-2,DAL,20010424
Vernon Maxwell,9:00,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,-9,DAL,20010424
Calvin Booth,7:00,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,4,3,-7,DAL,20010424
Mark Bryant,3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-5,DAL,20010424
Eduardo Najera,1:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,DAL,20010424
Karl Malone,44:00:00,11,22,0.5,0,0,0,12,14,0.857,1,6,7,3,2,0,3,2,34,11,UTA,20010424
Bryon Russell,44:00:00,6,11,0.545,4,6,0.667,8,8,1,1,7,8,5,0,0,2,4,24,12,UTA,20010424
John Stockton,42:00:00,4,8,0.5,0,2,0,9,11,0.818,3,0,3,9,3,0,3,5,17,0,UTA,20010424
Donyell Marshall,25:00:00,1,6,0.167,0,1,0,2,2,1,0,4,4,1,1,1,0,6,4,-3,UTA,20010424
Olden Polynice,17:00,5,9,0.556,0,0,0,1,2,0.5,4,1,5,0,0,0,1,2,11,8,UTA,20010424
David Benoit,27:00:00,3,6,0.5,0,1,0,5,5,1,0,1,1,1,0,2,1,3,11,2,UTA,20010424
Greg Ostertag,16:00,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,6,0,4,UTA,20010424
Danny Manning,13:00,1,3,0.333,0,0,0,2,2,1,0,0,0,0,0,0,1,5,4,10,UTA,20010424
Jacque Vaughn,9:00,1,2,0.5,1,1,1,0,0,0,0,0,0,4,0,0,0,4,3,12,UTA,20010424
John Crotty,3:00,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,-1,UTA,20010424
Tracy McGrady,42:00:00,15,31,0.484,2,4,0.5,3,3,1,1,5,6,7,1,1,2,3,35,-14,ORL,20010425
Darrell Armstrong,36:00:00,4,10,0.4,0,2,0,2,3,0.667,0,1,1,4,3,0,2,3,10,-3,ORL,20010425
Bo Outlaw,31:00:00,8,10,0.8,0,0,0,1,2,0.5,2,5,7,3,0,1,2,2,17,-12,ORL,20010425
Mike Miller,19:00,4,10,0.4,2,5,0.4,1,2,0.5,1,2,3,1,0,0,1,3,11,-10,ORL,20010425
Andrew DeClercq,12:00,1,2,0.5,0,0,0,1,2,0.5,0,4,4,0,0,0,0,4,3,-10,ORL,20010425
Pat Garrity,26:00:00,3,8,0.375,3,4,0.75,1,2,0.5,1,0,1,0,0,1,0,0,10,7,ORL,20010425
Troy Hudson,26:00:00,2,7,0.286,0,0,0,0,0,0,3,3,6,3,1,0,0,1,4,9,ORL,20010425
Michael Doleac,24:00:00,2,6,0.333,0,0,0,0,0,0,2,5,7,1,1,0,0,5,4,0,ORL,20010425
Dee Brown,15:00,0,2,0,0,2,0,0,0,0,0,2,2,3,0,0,0,0,0,-1,ORL,20010425
John Amaechi,6:00,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,-3,ORL,20010425
Don Reid,3:00,1,1,1,0,0,0,0,2,0,2,1,3,0,0,0,0,1,2,2,ORL,20010425
Ray Allen,40:00:00,7,12,0.583,2,3,0.667,11,13,0.846,2,8,10,7,3,1,1,0,27,11,MIL,20010425
Sam Cassell,36:00:00,8,21,0.381,1,1,1,9,9,1,1,1,2,4,1,0,2,4,26,-3,MIL,20010425
Glenn Robinson,36:00:00,5,15,0.333,1,2,0.5,3,4,0.75,2,2,4,4,0,2,4,1,14,15,MIL,20010425
Scott Williams,21:00,4,10,0.4,0,0,0,0,0,0,5,3,8,0,0,0,0,3,8,8,MIL,20010425
Mark Pope,15:00,2,3,0.667,0,0,0,0,0,0,3,4,7,2,0,0,0,2,4,9,MIL,20010425
Jason Caffey,26:00:00,6,8,0.75,0,0,0,1,3,0.333,2,5,7,2,0,0,3,2,13,-5,MIL,20010425
Ervin Johnson,23:00,0,1,0,0,0,0,0,0,0,3,10,13,0,0,0,0,0,0,-1,MIL,20010425
Lindsey Hunter,22:00,2,7,0.286,2,4,0.5,0,0,0,0,2,2,3,1,0,2,2,6,2,MIL,20010425
Tim Thomas,21:00,2,6,0.333,0,1,0,1,4,0.25,0,0,0,1,0,0,0,1,5,-1,MIL,20010425
Jason Kidd,30:00:00,2,12,0.167,2,5,0.4,1,2,0.5,3,4,7,9,2,0,2,1,7,-21,PHO,20010425
Mario Elie,25:00:00,4,9,0.444,1,5,0.2,2,2,1,0,0,0,1,1,1,1,1,11,-20,PHO,20010425
Shawn Marion,24:00:00,4,12,0.333,0,0,0,2,2,1,2,3,5,0,4,1,1,1,10,-19,PHO,20010425
Clifford Robinson,20:00,3,10,0.3,0,2,0,5,6,0.833,3,2,5,0,0,0,1,1,11,-9,PHO,20010425
Jake Tsakalidis,16:00,0,3,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,-13,PHO,20010425
Tom Gugliotta,27:00:00,4,11,0.364,0,0,0,2,3,0.667,4,4,8,2,1,0,1,4,10,-14,PHO,20010425
Tony Delk,26:00:00,4,13,0.308,1,2,0.5,5,6,0.833,1,1,2,2,0,0,0,1,14,-10,PHO,20010425
Rodney Rogers,23:00,1,8,0.125,0,2,0,4,4,1,1,1,2,1,1,1,1,2,6,-30,PHO,20010425
Vinny Del Negro,18:00,3,6,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,-5,PHO,20010425
Elliot Perry,16:00,5,9,0.556,0,1,0,1,1,1,1,3,4,4,2,0,0,0,11,3,PHO,20010425
Daniel Santiago,12:00,1,2,0.5,0,0,0,0,0,0,1,4,5,0,0,2,1,2,2,6,PHO,20010425
Chris Dudley,3:00,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,PHO,20010425
Chris Webber,39:00:00,8,18,0.444,0,0,0,0,2,0,1,8,9,5,3,2,1,1,16,30,SAC,20010425
Peja Stojakovic,32:00:00,7,15,0.467,1,3,0.333,7,8,0.875,2,4,6,0,0,0,2,1,22,23,SAC,20010425
Doug Christie,29:00:00,4,8,0.5,0,1,0,4,4,1,1,3,4,3,0,0,1,3,12,24,SAC,20010425
Vlade Divac,25:00:00,3,6,0.5,0,1,0,4,4,1,1,7,8,3,0,2,4,3,10,22,SAC,20010425
Jason Williams,24:00:00,7,11,0.636,2,4,0.5,2,2,1,0,2,2,3,1,0,1,2,18,12,SAC,20010425
Bobby Jackson,28:00:00,6,7,0.857,2,3,0.667,2,2,1,2,7,9,2,0,0,2,2,16,12,SAC,20010425
Hedo Turkoglu,22:00,1,5,0.2,1,1,1,0,0,0,1,5,6,3,0,0,2,3,3,9,SAC,20010425
Scot Pollard,17:00,5,7,0.714,0,0,0,1,2,0.5,3,5,8,1,1,0,0,4,11,7,SAC,20010425
Lawrence Funderburke,9:00,2,4,0.5,0,0,0,1,1,1,3,0,3,0,1,2,1,0,5,-4,SAC,20010425
Jon Barry,9:00,1,2,0.5,1,1,1,0,0,0,0,0,0,1,0,0,0,1,3,-2,SAC,20010425
Darrick Martin,6:00,0,5,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,-3,SAC,20010425
Scottie Pippen,40:00:00,8,15,0.533,2,7,0.286,3,5,0.6,1,7,8,2,4,1,6,3,21,-16,POR,20010426
Steve Smith,40:00:00,5,10,0.5,0,2,0,6,7,0.857,1,2,3,4,0,0,4,1,16,-12,POR,20010426
Rasheed Wallace,38:00:00,6,14,0.429,2,5,0.4,3,4,0.75,0,4,4,2,0,1,2,4,17,-16,POR,20010426
Damon Stoudamire,35:00:00,3,9,0.333,0,4,0,4,4,1,0,0,0,5,1,1,5,3,10,-17,POR,20010426
Arvydas Sabonis,34:00:00,5,10,0.5,0,0,0,1,2,0.5,1,4,5,3,0,4,0,3,11,-13,POR,20010426
Detlef Schrempf,16:00,2,2,1,1,1,1,4,4,1,0,3,3,1,0,0,0,1,9,-1,POR,20010426
Stacey Augmon,12:00,0,4,0,0,0,0,1,1,1,1,3,4,2,0,0,0,2,1,-6,POR,20010426
Dale Davis,11:00,0,2,0,0,1,0,1,2,0.5,1,1,2,0,1,0,0,1,1,-10,POR,20010426
Rod Strickland,6:00,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-8,POR,20010426
Greg Anthony,5:00,1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,POR,20010426
Will Perdue,3:00,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,5,POR,20010426
Shaquille O'Neal,43:00:00,14,24,0.583,0,0,0,4,9,0.444,6,6,12,5,0,1,2,2,32,22,LAL,20010426
Derek Fisher,36:00:00,4,13,0.308,1,5,0.2,0,0,0,1,4,5,5,0,0,0,1,9,17,LAL,20010426
Kobe Bryant,35:00:00,8,11,0.727,1,2,0.5,8,10,0.8,2,1,3,7,3,0,3,3,25,24,LAL,20010426
Rick Fox,34:00:00,8,14,0.571,3,7,0.429,0,0,0,3,5,8,6,5,0,5,4,19,14,LAL,20010426
Horace Grant,26:00:00,2,5,0.4,0,0,0,0,0,0,1,4,5,2,2,0,3,3,4,9,LAL,20010426
Brian Shaw,25:00:00,3,7,0.429,1,2,0.5,0,0,0,2,5,7,3,1,0,0,3,7,7,LAL,20010426
Robert Horry,18:00,1,7,0.143,0,5,0,1,2,0.5,0,4,4,3,0,0,1,3,3,15,LAL,20010426
Tyronn Lue,10:00,0,3,0,0,1,0,1,2,0.5,0,0,0,0,0,0,1,2,1,-3,LAL,20010426
Devean George,5:00,3,4,0.75,0,0,0,0,0,0,0,2,2,0,0,0,0,2,6,-6,LAL,20010426
Mark Madsen,5:00,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-4,LAL,20010426
Greg Foster,3:00,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-5,LAL,20010426
Alvin Williams,44:00:00,10,18,0.556,3,5,0.6,0,1,0,0,4,4,2,1,1,2,1,23,26,TOR,20010426
Vince Carter,39:00:00,10,22,0.455,0,4,0,2,4,0.5,4,3,7,1,2,1,2,4,22,20,TOR,20010426
Antonio Davis,38:00:00,6,12,0.5,0,0,0,3,4,0.75,3,9,12,2,1,2,2,2,15,19,TOR,20010426
Charles Oakley,38:00:00,5,11,0.455,0,1,0,2,2,1,3,7,10,0,0,1,1,2,12,21,TOR,20010426
Chris Childs,29:00:00,1,7,0.143,1,3,0.333,2,2,1,0,2,2,7,2,1,6,3,5,13,TOR,20010426
Jerome Williams,17:00,0,2,0,0,0,0,2,4,0.5,4,2,6,1,2,1,2,4,2,1,TOR,20010426
Keon Clark,13:00,2,7,0.286,0,0,0,3,3,1,2,4,6,0,1,1,0,4,7,1,TOR,20010426
Dell Curry,9:00,1,2,0.5,0,0,0,2,2,1,0,1,1,2,0,0,2,1,4,6,TOR,20010426
Morris Peterson,7:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,TOR,20010426
Tracy Murray,3:00,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,-4,TOR,20010426
Michael Stewart,3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,TOR,20010426
Kurt Thomas,43:00:00,7,14,0.5,0,0,0,9,12,0.75,4,8,12,0,0,2,3,5,23,-19,NYK,20010426
Latrell Sprewell,39:00:00,3,12,0.25,0,1,0,0,0,0,0,1,1,4,1,0,2,4,6,-16,NYK,20010426
Mark Jackson,35:00:00,5,11,0.455,0,1,0,0,0,0,1,8,9,5,3,0,3,1,10,-11,NYK,20010426
Allan Houston,33:00:00,5,11,0.455,0,1,0,4,4,1,0,2,2,3,2,0,2,3,14,-22,NYK,20010426
Marcus Camby,31:00:00,1,4,0.25,0,0,0,0,4,0,0,2,2,0,1,1,1,3,2,-15,NYK,20010426
Glen Rice,25:00:00,4,8,0.5,2,2,1,2,2,1,0,3,3,0,1,1,2,1,12,-9,NYK,20010426
Othella Harrington,17:00,1,2,0.5,0,0,0,2,2,1,1,2,3,0,3,1,0,3,4,-3,NYK,20010426
Charlie Ward,11:00,0,3,0,0,0,0,0,0,0,2,2,4,1,1,0,2,1,0,-7,NYK,20010426
Rick Brunson,3:00,0,1,0,0,0,0,3,4,0.75,0,0,0,0,0,0,1,0,3,1,NYK,20010426
Felton Spencer,3:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NYK,20010426
Eddie Jones,40:00:00,9,14,0.643,2,3,0.667,2,2,1,1,6,7,4,1,0,1,3,22,-9,MIA,20010427
Alonzo Mourning,38:00:00,3,8,0.375,0,0,0,6,12,0.5,2,7,9,2,0,3,2,4,12,2,MIA,20010427
Anthony Mason,29:00:00,1,3,0.333,0,0,0,2,2,1,0,3,3,2,1,0,2,2,4,-27,MIA,20010427
Bruce Bowen,19:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,MIA,20010427
Anthony Carter,17:00,2,6,0.333,0,0,0,0,0,0,0,3,3,5,0,0,5,3,4,-4,MIA,20010427
Eddie House,31:00:00,6,18,0.333,1,3,0.333,0,0,0,1,1,2,2,1,0,2,3,13,-11,MIA,20010427
Dan Majerle,28:00:00,2,5,0.4,2,4,0.5,2,4,0.5,2,2,4,2,0,0,2,3,8,-4,MIA,20010427
Brian Grant,26:00:00,5,14,0.357,0,0,0,5,6,0.833,2,6,8,0,0,0,1,3,15,-12,MIA,20010427
A.C. Green,8:00,0,2,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,-3,MIA,20010427
Cedric Ceballos,4:00,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,-7,MIA,20010427
Jamal Mashburn,44:00:00,5,14,0.357,1,2,0.5,10,10,1,2,7,9,8,0,0,1,2,21,12,CHH,20010427
Baron Davis,43:00:00,9,15,0.6,0,3,0,3,4,0.75,1,1,2,3,3,0,3,1,21,10,CHH,20010427
P.J. Brown,39:00:00,3,7,0.429,0,0,0,7,10,0.7,5,7,12,1,1,3,2,1,13,14,CHH,20010427
David Wesley,33:00:00,6,14,0.429,1,2,0.5,2,3,0.667,1,1,2,2,4,0,0,1,15,7,CHH,20010427
Elden Campbell,17:00,2,5,0.4,0,0,0,1,2,0.5,0,3,3,0,0,1,1,6,5,-3,CHH,20010427
Eddie Robinson,25:00:00,6,9,0.667,0,0,0,2,2,1,0,3,3,2,1,1,0,2,14,5,CHH,20010427
Derrick Coleman,23:00,2,8,0.25,0,2,0,1,2,0.5,3,6,9,1,0,1,2,4,5,18,CHH,20010427
Hersey Hawkins,9:00,0,1,0,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,8,CHH,20010427
Jamaal Magloire,7:00,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,2,0,4,CHH,20010427
Bryon Russell,44:00:00,6,11,0.545,2,4,0.5,0,0,0,2,6,8,5,1,1,0,4,14,-7,UTA,20010428
Karl Malone,43:00:00,11,28,0.393,1,2,0.5,6,8,0.75,4,9,13,6,1,1,5,4,29,-1,UTA,20010428
Donyell Marshall,37:00:00,8,14,0.571,1,4,0.25,0,0,0,4,4,8,4,0,0,5,3,17,7,UTA,20010428
John Stockton,36:00:00,6,11,0.545,0,2,0,0,1,0,2,9,11,10,0,0,2,5,12,9,UTA,20010428
Olden Polynice,21:00,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,0,-6,UTA,20010428
Danny Manning,25:00:00,8,12,0.667,1,1,1,2,2,1,0,2,2,0,1,3,3,5,19,-1,UTA,20010428
Jacque Vaughn,15:00,0,2,0,0,0,0,0,0,0,0,1,1,2,0,1,1,5,0,-7,UTA,20010428
David Benoit,9:00,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,-6,UTA,20010428
Greg Ostertag,6:00,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,2,UTA,20010428
John Crotty,4:00,0,2,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,-5,UTA,20010428
Dirk Nowitzki,48:00:00,9,19,0.474,2,7,0.286,13,14,0.929,3,7,10,2,0,1,2,3,33,3,DAL,20010428
Juwan Howard,45:00:00,8,18,0.444,0,0,0,2,3,0.667,1,10,11,1,0,0,1,3,18,7,DAL,20010428
Michael Finley,45:00:00,2,14,0.143,0,1,0,4,6,0.667,1,3,4,5,4,0,3,1,8,1,DAL,20010428
Steve Nash,39:00:00,6,15,0.4,1,3,0.333,3,3,1,0,4,4,7,0,0,2,0,16,5,DAL,20010428
Shawn Bradley,23:00,4,6,0.667,0,0,0,2,2,1,4,6,10,0,1,0,1,4,10,-1,DAL,20010428
Howard Eisley,22:00,2,7,0.286,1,4,0.25,2,2,1,0,2,2,0,1,0,2,1,7,3,DAL,20010428
Calvin Booth,12:00,1,4,0.25,0,0,0,0,0,0,2,1,3,0,0,1,0,2,2,2,DAL,20010428
Mark Bryant,6:00,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-5,DAL,20010428
Allen Iverson,47:00:00,11,28,0.393,0,2,0,10,14,0.714,2,5,7,6,2,0,2,0,32,5,PHI,20010428
Dikembe Mutombo,41:00:00,3,11,0.273,0,1,0,4,4,1,8,7,15,1,0,2,0,2,10,2,PHI,20010428
Eric Snow,34:00:00,5,12,0.417,0,0,0,1,2,0.5,1,5,6,4,0,0,2,4,11,-8,PHI,20010428
Tyrone Hill,34:00:00,1,4,0.25,0,0,0,3,3,1,3,4,7,2,1,0,1,2,5,-3,PHI,20010428
George Lynch,30:00:00,5,9,0.556,0,0,0,0,2,0,2,6,8,1,1,0,3,4,10,-4,PHI,20010428
Aaron McKie,36:00:00,8,14,0.571,1,4,0.25,5,6,0.833,0,3,3,2,2,0,3,5,22,17,PHI,20010428
Jumaine Jones,12:00,0,3,0,0,0,0,0,0,0,1,2,3,1,0,2,1,1,0,13,PHI,20010428
Matt Geiger,4:00,1,1,1,0,0,0,0,0,0,2,2,4,0,0,0,0,3,2,7,PHI,20010428
Kevin Ollie,2:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4,PHI,20010428
Reggie Miller,46:00:00,11,25,0.44,5,14,0.357,8,8,1,2,3,5,2,1,0,2,1,35,-2,IND,20010428
