Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,team,date
Rod Strickland,13:00,2,5,0.4,0,0,0,4,6,0.667,1,2,3,2,2,0,1,1,8,10,POR,20010422
Dale Davis,9:00,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,6,0,-21,POR,20010422
Antonio Harvey,7:00,0,1,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,-3,POR,20010422
Detlef Schrempf,4:00,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,7,POR,20010422
Will Perdue,1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,POR,20010422
Shaquille O'Neal,44:00:00,7,21,0.333,0,0,0,10,15,0.667,8,12,20,1,0,1,3,3,24,17,LAL,20010422
Kobe Bryant,41:00:00,9,20,0.45,1,2,0.5,9,12,0.75,1,5,6,7,2,0,0,4,28,26,LAL,20010422
Derek Fisher,38:00:00,7,10,0.7,2,5,0.4,5,6,0.833,0,3,3,3,1,0,0,3,21,11,LAL,20010422
Rick Fox,34:00:00,3,9,0.333,1,6,0.167,0,0,0,0,3,3,5,4,1,1,4,7,16,LAL,20010422
Horace Grant,25:00:00,7,9,0.778,0,0,0,0,0,0,5,3,8,1,2,1,0,4,14,12,LAL,20010422
Robert Horry,24:00:00,1,5,0.2,1,3,0.333,0,0,0,1,1,2,0,2,0,2,2,3,1,LAL,20010422
Brian Shaw,23:00,4,8,0.5,1,3,0.333,0,0,0,0,3,3,2,0,0,1,3,9,7,LAL,20010422
Devean George,5:00,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2,0,-16,LAL,20010422
Tyronn Lue,3:00,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,LAL,20010422
Mark Madsen,3:00,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,-4,LAL,20010422
Tracy McGrady,43:00:00,12,34,0.353,0,2,0,9,9,1,3,6,9,8,1,2,4,2,33,-15,ORL,20010422
Darrell Armstrong,38:00:00,3,9,0.333,1,4,0.25,2,2,1,1,2,3,3,2,0,2,4,9,-11,ORL,20010422
Mike Miller,34:00:00,3,10,0.3,1,5,0.2,2,2,1,1,5,6,3,0,0,0,3,9,-9,ORL,20010422
Bo Outlaw,31:00:00,2,5,0.4,0,0,0,1,4,0.25,1,8,9,1,0,2,3,3,5,-6,ORL,20010422
Andrew DeClercq,12:00,2,2,1,0,0,0,1,2,0.5,1,2,3,1,0,1,1,3,5,-7,ORL,20010422
Pat Garrity,27:00:00,5,7,0.714,4,6,0.667,0,0,0,0,3,3,0,0,0,0,3,14,-7,ORL,20010422
Dee Brown,15:00,2,3,0.667,2,2,1,0,0,0,0,0,0,1,1,0,1,0,6,-4,ORL,20010422
John Amaechi,14:00,1,4,0.25,0,0,0,3,4,0.75,1,1,2,2,2,0,0,2,5,1,ORL,20010422
Troy Hudson,11:00,1,5,0.2,0,0,0,0,0,0,0,1,1,3,0,0,0,1,2,-7,ORL,20010422
