Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes
"Sat, Apr 17, 2004",7:00 PM,Memphis Grizzlies,74,San Antonio Spurs,98,Box Score,,
"Sun, Apr 18, 2004",1:00 PM,Milwaukee Bucks,82,Detroit Pistons,108,Box Score,,
"Sun, Apr 18, 2004",7:00 PM,New Orleans Hornets,79,Miami Heat,81,Box Score,,
"Sun, Apr 18, 2004",8:30 PM,Denver Nuggets,92,Minnesota Timberwolves,106,Box Score,,
"Sun, Apr 18, 2004",12:30 PM,Dallas Mavericks,105,Sacramento Kings,116,Box Score,,
"Mon, Apr 19, 2004",7:30 PM,Houston Rockets,84,Los Angeles Lakers,98,Box Score,,
"Mon, Apr 19, 2004",7:00 PM,Memphis Grizzlies,70,San Antonio Spurs,87,Box Score,,
"Tue, Apr 20, 2004",7:30 PM,Boston Celtics,90,Indiana Pacers,103,Box Score,,
"Tue, Apr 20, 2004",8:00 PM,New York Knicks,81,New Jersey Nets,99,Box Score,,
"Tue, Apr 20, 2004",7:30 PM,Dallas Mavericks,79,Sacramento Kings,83,Box Score,,
"Wed, Apr 21, 2004",7:00 PM,Milwaukee Bucks,92,Detroit Pistons,88,Box Score,,
"Wed, Apr 21, 2004",8:00 PM,New Orleans Hornets,63,Miami Heat,93,Box Score,,
"Wed, Apr 21, 2004",8:30 PM,Denver Nuggets,81,Minnesota Timberwolves,95,Box Score,,
"Thu, Apr 22, 2004",8:30 PM,San Antonio Spurs,95,Memphis Grizzlies,93,Box Score,,
"Thu, Apr 22, 2004",7:00 PM,New Jersey Nets,81,New York Knicks,78,Box Score,,
"Fri, Apr 23, 2004",7:00 PM,Indiana Pacers,108,Boston Celtics,85,Box Score,,
"Fri, Apr 23, 2004",8:30 PM,Los Angeles Lakers,91,Houston Rockets,102,Box Score,,
"Sat, Apr 24, 2004",6:00 PM,Sacramento Kings,79,Dallas Mavericks,104,Box Score,,
"Sat, Apr 24, 2004",7:30 PM,Minnesota Timberwolves,86,Denver Nuggets,107,Box Score,,
"Sat, Apr 24, 2004",2:30 PM,Detroit Pistons,95,Milwaukee Bucks,85,Box Score,,
"Sat, Apr 24, 2004",12:00 PM,Miami Heat,71,New Orleans Hornets,77,Box Score,,
"Sun, Apr 25, 2004",1:00 PM,Indiana Pacers,90,Boston Celtics,75,Box Score,,
"Sun, Apr 25, 2004",2:30 PM,Los Angeles Lakers,92,Houston Rockets,88,Box Score,OT,
"Sun, Apr 25, 2004",8:30 PM,San Antonio Spurs,110,Memphis Grizzlies,97,Box Score,,
"Sun, Apr 25, 2004",7:00 PM,New Jersey Nets,100,New York Knicks,94,Box Score,,
"Mon, Apr 26, 2004",8:30 PM,Sacramento Kings,94,Dallas Mavericks,92,Box Score,,
"Mon, Apr 26, 2004",6:00 PM,Detroit Pistons,109,Milwaukee Bucks,92,Box Score,,
"Tue, Apr 27, 2004",8:30 PM,Minnesota Timberwolves,84,Denver Nuggets,82,Box Score,,
"Tue, Apr 27, 2004",7:00 PM,Miami Heat,85,New Orleans Hornets,96,Box Score,,
"Wed, Apr 28, 2004",7:00 PM,Houston Rockets,78,Los Angeles Lakers,97,Box Score,,
"Thu, Apr 29, 2004",8:00 PM,Milwaukee Bucks,77,Detroit Pistons,91,Box Score,,
"Thu, Apr 29, 2004",7:30 PM,Dallas Mavericks,118,Sacramento Kings,119,Box Score,,
"Fri, Apr 30, 2004",7:00 PM,New Orleans Hornets,83,Miami Heat,87,Box Score,,
