Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,??,??,Notes,,,,
"Wed, Nov 29, 2000",7:30 PM,Utah Jazz,88,Orlando Magic,86,Box Score,,,,,,
"Wed, Nov 29, 2000",7:00 PM,Washington Wizards,87,Philadelphia 76ers,93,Box Score,,,,,,
"Wed, Nov 29, 2000",7:30 PM,Sacramento Kings,79,San Antonio Spurs,82,Box Score,,,,,,
"Wed, Nov 29, 2000",7:00 PM,Phoenix Suns,106,Vancouver Grizzlies,109,Box Score,2OT,,,,,
"Thu, Nov 30, 2000",7:30 PM,Chicago Bulls,91,Atlanta Hawks,82,Box Score,,,,,,
"Thu, Nov 30, 2000",7:00 PM,Houston Rockets,109,Denver Nuggets,105,Box Score,OT,,,,,
"Thu, Nov 30, 2000",7:30 PM,Indiana Pacers,95,Golden State Warriors,99,Box Score,,,,,,
"Thu, Nov 30, 2000",7:00 PM,Boston Celtics,97,Milwaukee Bucks,108,Box Score,,,,,,
"Thu, Nov 30, 2000",7:00 PM,Dallas Mavericks,84,Portland Trail Blazers,95,Box Score,,,,,,
"Thu, Nov 30, 2000",7:00 PM,Los Angeles Lakers,88,Seattle SuperSonics,121,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,Minnesota Timberwolves,102,Boston Celtics,98,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,New York Knicks,91,Chicago Bulls,86,Box Score,,,,,,
"Fri, Dec 1, 2000",8:00 PM,Cleveland Cavaliers,93,Detroit Pistons,103,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,San Antonio Spurs,100,Los Angeles Lakers,109,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,Utah Jazz,94,Miami Heat,92,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,New Jersey Nets,80,Orlando Magic,83,Box Score,,,,,,
"Fri, Dec 1, 2000",7:00 PM,Charlotte Hornets,74,Philadelphia 76ers,95,Box Score,,,,,,
"Fri, Dec 1, 2000",7:30 PM,Phoenix Suns,98,Sacramento Kings,105,Box Score,,,,,,
"Fri, Dec 1, 2000",7:00 PM,Los Angeles Clippers,95,Toronto Raptors,104,Box Score,OT,,,,,
"Fri, Dec 1, 2000",7:00 PM,Indiana Pacers,86,Vancouver Grizzlies,76,Box Score,OT,,,,,
"Sat, Dec 2, 2000",2:30 PM,Milwaukee Bucks,94,Atlanta Hawks,101,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Utah Jazz,89,Charlotte Hornets,94,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Philadelphia 76ers,112,Cleveland Cavaliers,78,Box Score,,,,,,
"Sat, Dec 2, 2000",7:00 PM,Seattle SuperSonics,92,Denver Nuggets,103,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Dallas Mavericks,97,Golden State Warriors,78,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Portland Trail Blazers,96,Houston Rockets,85,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Orlando Magic,95,New Jersey Nets,74,Box Score,,,,,,
"Sat, Dec 2, 2000",7:30 PM,Minnesota Timberwolves,90,New York Knicks,100,Box Score,,,,,,
"Sat, Dec 2, 2000",8:00 PM,Miami Heat,93,Washington Wizards,90,Box Score,,,,,,
"Sun, Dec 3, 2000",12:30 PM,Los Angeles Clippers,87,Boston Celtics,96,Box Score,,,,,,
"Sun, Dec 3, 2000",7:00 PM,Washington Wizards,87,Detroit Pistons,93,Box Score,,,,,,
